"name","value","created_at"
circulating_supply,29595286347.479,2024-09-23 01:40:01.000
rank,33.0,2024-09-23 01:40:01.000
price_usd,0.09611,2024-09-23 01:50:01.000
volume_24h,46329949.4077,2024-09-23 01:50:01.000
market_cap_dominance,0.1278,2024-09-23 01:50:01.000
market_cap,2844522934.7409,2024-09-23 01:50:01.000
circulating_supply,29595286347.479,2024-09-23 01:50:01.000
rank,33.0,2024-09-23 01:50:01.000
price_usd,0.09605,2024-09-23 02:00:04.000
volume_24h,46288070.7872,2024-09-23 02:00:04.000
market_cap_dominance,0.1277,2024-09-23 02:00:04.000
market_cap,2842716274.843,2024-09-23 02:00:04.000
circulating_supply,29595286347.479,2024-09-23 02:00:04.000
rank,33.0,2024-09-23 02:00:04.000
price_usd,0.09603,2024-09-23 02:10:00.000
volume_24h,45652036.2764,2024-09-23 02:10:00.000
market_cap_dominance,0.1278,2024-09-23 02:10:00.000
market_cap,2842014249.3516,2024-09-23 02:10:00.000
circulating_supply,29595286331.473,2024-09-23 02:10:00.000
rank,33.0,2024-09-23 02:10:00.000
price_usd,0.09602,2024-09-23 02:20:00.000
volume_24h,45376180.8271,2024-09-23 02:20:00.000
market_cap_dominance,0.1275,2024-09-23 02:20:00.000
market_cap,2841672565.9975,2024-09-23 02:20:00.000
circulating_supply,29595286331.473,2024-09-23 02:20:00.000
rank,33.0,2024-09-23 02:20:00.000
price_usd,0.09574,2024-09-23 02:30:00.000
volume_24h,45073749.8274,2024-09-23 02:30:00.000
market_cap_dominance,0.1275,2024-09-23 02:30:00.000
market_cap,2833476481.8983,2024-09-23 02:30:00.000
circulating_supply,29595286331.473,2024-09-23 02:30:00.000
rank,33.0,2024-09-23 02:30:00.000
price_usd,0.09579,2024-09-23 02:40:01.000
volume_24h,45148724.5121,2024-09-23 02:40:01.000
market_cap_dominance,0.1273,2024-09-23 02:40:01.000
market_cap,2835063337.1107,2024-09-23 02:40:01.000
circulating_supply,29595286310.405,2024-09-23 02:40:01.000
rank,33.0,2024-09-23 02:40:01.000
price_usd,0.09595,2024-09-23 02:50:00.000
volume_24h,45340279.814,2024-09-23 02:50:00.000
market_cap_dominance,0.1274,2024-09-23 02:50:00.000
market_cap,2839735682.6893,2024-09-23 02:50:00.000
circulating_supply,29595286310.405,2024-09-23 02:50:00.000
rank,33.0,2024-09-23 02:50:00.000
price_usd,0.09603,2024-09-23 03:00:01.000
volume_24h,45189908.1406,2024-09-23 03:00:01.000
market_cap_dominance,0.1274,2024-09-23 03:00:01.000
market_cap,2841893304.6925,2024-09-23 03:00:01.000
circulating_supply,29595286310.405,2024-09-23 03:00:01.000
rank,33.0,2024-09-23 03:00:01.000
price_usd,0.0962,2024-09-23 03:10:02.000
volume_24h,45175858.7914,2024-09-23 03:10:02.000
market_cap_dominance,0.1274,2024-09-23 03:10:02.000
market_cap,2847104966.2595,2024-09-23 03:10:02.000
circulating_supply,29595286297.425,2024-09-23 03:10:02.000
rank,33.0,2024-09-23 03:10:02.000
price_usd,0.09637,2024-09-23 03:20:00.000
volume_24h,45724179.0803,2024-09-23 03:20:00.000
market_cap_dominance,0.1269,2024-09-23 03:20:00.000
market_cap,2852194147.4466,2024-09-23 03:20:00.000
circulating_supply,29595286297.425,2024-09-23 03:20:00.000
rank,35.0,2024-09-23 03:20:00.000
price_usd,0.09648,2024-09-23 03:30:01.000
volume_24h,46276761.6935,2024-09-23 03:30:01.000
market_cap_dominance,0.1266,2024-09-23 03:30:01.000
market_cap,2855420076.7164,2024-09-23 03:30:01.000
circulating_supply,29595286297.425,2024-09-23 03:30:01.000
rank,35.0,2024-09-23 03:30:01.000
price_usd,0.09657,2024-09-23 03:40:00.000
volume_24h,46871433.136,2024-09-23 03:40:00.000
market_cap_dominance,0.1268,2024-09-23 03:40:00.000
market_cap,2857940947.7155,2024-09-23 03:40:00.000
circulating_supply,29595286261.407,2024-09-23 03:40:00.000
rank,35.0,2024-09-23 03:40:00.000
price_usd,0.09644,2024-09-23 03:50:01.000
volume_24h,47114393.3453,2024-09-23 03:50:01.000
market_cap_dominance,0.1267,2024-09-23 03:50:01.000
market_cap,2854275053.4651,2024-09-23 03:50:01.000
circulating_supply,29595286261.407,2024-09-23 03:50:01.000
rank,35.0,2024-09-23 03:50:01.000
price_usd,0.09648,2024-09-23 04:00:04.000
volume_24h,47319933.8087,2024-09-23 04:00:04.000
market_cap_dominance,0.127,2024-09-23 04:00:04.000
market_cap,2855276007.1697,2024-09-23 04:00:04.000
circulating_supply,29595286261.407,2024-09-23 04:00:04.000
rank,35.0,2024-09-23 04:00:04.000
price_usd,0.09645,2024-09-23 04:10:01.000
volume_24h,47357298.7833,2024-09-23 04:10:01.000
market_cap_dominance,0.1268,2024-09-23 04:10:01.000
market_cap,2854494069.1261,2024-09-23 04:10:01.000
circulating_supply,29595286242.201,2024-09-23 04:10:01.000
rank,35.0,2024-09-23 04:10:01.000
price_usd,0.09646,2024-09-23 04:20:01.000
volume_24h,47494916.8638,2024-09-23 04:20:01.000
market_cap_dominance,0.1269,2024-09-23 04:20:01.000
market_cap,2854842130.9254,2024-09-23 04:20:01.000
circulating_supply,29595286242.201,2024-09-23 04:20:01.000
rank,35.0,2024-09-23 04:20:01.000
price_usd,0.09635,2024-09-23 04:30:01.000
volume_24h,47513199.7584,2024-09-23 04:30:01.000
market_cap_dominance,0.1272,2024-09-23 04:30:01.000
market_cap,2851431273.3746,2024-09-23 04:30:01.000
circulating_supply,29595286242.201,2024-09-23 04:30:01.000
rank,35.0,2024-09-23 04:30:01.000
price_usd,0.09618,2024-09-23 04:40:02.000
volume_24h,47612464.2864,2024-09-23 04:40:02.000
market_cap_dominance,0.1274,2024-09-23 04:40:02.000
market_cap,2846389041.7091,2024-09-23 04:40:02.000
circulating_supply,29595286234.016,2024-09-23 04:40:02.000
rank,35.0,2024-09-23 04:40:02.000
price_usd,0.09616,2024-09-23 04:50:01.000
volume_24h,47437292.7412,2024-09-23 04:50:01.000
market_cap_dominance,0.1273,2024-09-23 04:50:01.000
market_cap,2845766427.905,2024-09-23 04:50:01.000
circulating_supply,29595286234.016,2024-09-23 04:50:01.000
rank,35.0,2024-09-23 04:50:01.000
price_usd,0.09623,2024-09-23 05:00:03.000
volume_24h,47548073.6821,2024-09-23 05:00:03.000
market_cap_dominance,0.1274,2024-09-23 05:00:03.000
market_cap,2847814267.434,2024-09-23 05:00:03.000
circulating_supply,29595286234.016,2024-09-23 05:00:03.000
rank,35.0,2024-09-23 05:00:03.000
price_usd,0.09618,2024-09-23 05:10:01.000
